               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,            0.018008,           0.0026582,                   0,             0.99385,             0.99775,             0.99448,             0.75933,            0.016048,           0.0028294,                   0,           0.0074062,           0.0074062,           0.0074062
                 133,             0.01832,           0.0026632,                   0,             0.99402,             0.99846,             0.99451,             0.75911,            0.016073,           0.0028289,                   0,           0.0073864,           0.0073864,           0.0073864
                 134,            0.018082,           0.0026303,                   0,             0.99402,             0.99848,             0.99444,             0.75728,            0.016039,           0.0028257,                   0,           0.0073666,           0.0073666,           0.0073666
                 135,            0.018171,           0.0026238,                   0,             0.99402,             0.99844,             0.99426,             0.75895,            0.016068,           0.0028284,                   0,           0.0073468,           0.0073468,           0.0073468
                 136,            0.018302,           0.0026971,                   0,             0.99402,             0.99844,             0.99434,             0.75878,            0.016066,            0.002823,                   0,            0.007327,            0.007327,            0.007327
                 137,             0.01854,           0.0027293,                   0,             0.99399,              0.9985,             0.99442,             0.75837,            0.016082,            0.002819,                   0,           0.0073072,           0.0073072,           0.0073072
                 138,            0.018236,           0.0026831,                   0,             0.99501,             0.99775,             0.99441,             0.75434,            0.016109,           0.0028206,                   0,           0.0072874,           0.0072874,           0.0072874
                 139,            0.018198,           0.0026879,                   0,               0.994,             0.99925,             0.99421,             0.75444,             0.01606,           0.0028233,                   0,           0.0072676,           0.0072676,           0.0072676
                 140,            0.018339,           0.0026906,                   0,             0.99402,              0.9992,             0.99425,              0.7545,            0.015984,           0.0028228,                   0,           0.0072478,           0.0072478,           0.0072478
                 141,             0.01815,           0.0026833,                   0,             0.99402,             0.99922,             0.99423,             0.75416,            0.015936,           0.0028253,                   0,            0.007228,            0.007228,            0.007228
                 142,            0.017954,           0.0026872,                   0,             0.99392,             0.99925,             0.99421,             0.75348,            0.015902,           0.0028203,                   0,           0.0072082,           0.0072082,           0.0072082
                 143,            0.018185,           0.0026375,                   0,             0.99394,             0.99925,             0.99422,             0.75452,            0.015905,           0.0028176,                   0,           0.0071884,           0.0071884,           0.0071884
                 144,            0.018375,           0.0026653,                   0,             0.99394,             0.99925,             0.99413,             0.75558,            0.015878,            0.002815,                   0,           0.0071686,           0.0071686,           0.0071686
                 145,            0.018348,           0.0026784,                   0,             0.99402,             0.99915,             0.99421,             0.75665,            0.015869,           0.0028173,                   0,           0.0071488,           0.0071488,           0.0071488
                 146,            0.018368,           0.0026784,                   0,             0.99402,             0.99922,             0.99423,             0.75772,            0.015884,           0.0028188,                   0,            0.007129,            0.007129,            0.007129
                 147,            0.018026,           0.0026496,                   0,             0.99392,             0.99925,             0.99418,             0.75846,            0.015912,           0.0028217,                   0,           0.0071092,           0.0071092,           0.0071092
                 148,            0.018083,           0.0026543,                   0,             0.99381,             0.99925,             0.99409,             0.75801,            0.015935,           0.0028194,                   0,           0.0070894,           0.0070894,           0.0070894
                 149,            0.018183,           0.0026676,                   0,             0.99379,             0.99925,             0.99409,             0.75605,            0.015942,           0.0028183,                   0,           0.0070696,           0.0070696,           0.0070696
                 150,            0.018695,           0.0028076,                   0,             0.99402,             0.99923,             0.99407,             0.75458,            0.015937,           0.0028172,                   0,           0.0070498,           0.0070498,           0.0070498
                 151,              0.0184,            0.002682,                   0,             0.99387,             0.99925,             0.99407,             0.75407,            0.015924,           0.0028171,                   0,             0.00703,             0.00703,             0.00703
                 152,             0.01807,           0.0026693,                   0,             0.99388,             0.99925,             0.99409,             0.75587,              0.0159,           0.0028136,                   0,           0.0070102,           0.0070102,           0.0070102
                 153,            0.018122,           0.0026774,                   0,             0.99387,             0.99925,             0.99408,             0.75586,            0.015879,           0.0028161,                   0,           0.0069904,           0.0069904,           0.0069904
                 154,            0.018288,            0.002708,                   0,             0.99391,             0.99925,             0.99408,             0.75542,            0.015864,           0.0028153,                   0,           0.0069706,           0.0069706,           0.0069706
                 155,            0.018273,           0.0026966,                   0,             0.99379,             0.99925,              0.9941,              0.7567,            0.015849,           0.0028118,                   0,           0.0069508,           0.0069508,           0.0069508
